provincia,municipio,estacion,direccion,gasolina95,diesel,latitud,longitud,fecha
ALBACETE,Abengibre,Nº 10.935,"AVENIDA CASTILLA LA MANCHA, 26",1.479,1.749,39.211417,-1.539167,2026-04-06
ALBACETE,Alatoz,REPSOL,"CR CM-332, 46,4",1.639,1.999,39.100389,-1.346083,2026-04-06
ALBACETE,Albacete,BP ROMICA,"CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5",1.595,1.929,39.054694,-1.832,2026-04-06
ALBACETE,Albacete,MOEVE,"CALLE FEDERICO GARCIA LORCA, 5",,1.903,38.997722,-1.846361,2026-04-06
ALBACETE,Albacete,CARREFOUR,"AVENIDA 1º DE MAYO, S/N",1.559,1.829,38.985667,-1.8685,2026-04-06
ALBACETE,Albacete,PLENERGY,"CALLE FEDERICO GARCIA LORCA, 1",1.549,1.749,39.000861,-1.849833,2026-04-06
ALBACETE,Albacete,MOEVE,"PASEO CUBA (LA), 36",1.609,1.979,39.005083,-1.859917,2026-04-06
ALBACETE,Albacete,REPSOL,"CL PASEO DE LA CUBA, 15",1.599,1.965,38.999722,-1.854556,2026-04-06
ALBACETE,Albacete,PLENERGY,"AVENIDA MENÉNDEZ PIDAL, 58",1.499,1.749,39.003333,-1.864917,2026-04-06
ALBACETE,Albacete,PLENERGY,"CALLE CONSTANTINO ROMERO, S/N",1.499,1.749,39.005528,-1.884444,2026-04-06
ALBACETE,Albacete,A&A,"AVENIDA ESCRITOR RODRIGO RUBIO, 3",1.499,1.749,39.006889,-1.885361,2026-04-06
ALBACETE,Albacete,CEPSA,"CALLE HERMANOS FALCÓ, 2",1.619,1.979,38.98925,-1.849028,2026-04-06
ALBACETE,Albacete,REPSOL,"PG CAMPOLLANO-P. 2-CT, S.N.",1.589,1.955,39.012583,-1.874972,2026-04-06
ALBACETE,Albacete,INPEALSA,"AVDA. DE LOS TOREROS, S/N",1.569,1.809,38.998222,-1.869889,2026-04-06
ALBACETE,Albacete,REPSOL,"CR N-322, 337,8",1.609,1.859,38.925833,-2.031861,2026-04-06
ALBACETE,Albacete,FAMILY ENERGY,"CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N",1.599,1.749,38.988972,-1.847361,2026-04-06
ALBACETE,Albacete,LA PULGOSA,"CARRETERA M 3203 KM. 2,6",1.594,1.761,38.963972,-1.875944,2026-04-06
ALBACETE,Albacete,REPSOL,"CALLE CTRA. DE JAEN, 79",1.599,1.959,38.988111,-1.883694,2026-04-06
ALBACETE,Albacete,REPSOL,"CR N-301, 244",1.599,1.965,39.027778,-1.892972,2026-04-06
ALBACETE,Albacete,P347,CARRETERA NACIONAL 322 PTO KM 347 KM. 347,,1.799,38.965639,-1.9355,2026-04-06
